age,job,marital,education,default,balance,housing,loan,contact,day_of_week,month,campaign,previous,poutcome,y,previously_contacted,pdays_capped
59,management,divorced,tertiary,no,262,no,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
57,technician,married,primary,no,0,no,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
56,technician,divorced,unknown,no,56,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
51,blue-collar,married,secondary,no,26,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
34,admin.,married,unknown,no,3,yes,no,unknown,5,may,3,0,no_prior_campaign,0,0,872
43,services,married,secondary,no,41,yes,yes,unknown,5,may,2,0,no_prior_campaign,0,0,872
52,technician,married,tertiary,no,7,no,yes,unknown,5,may,1,0,no_prior_campaign,0,0,872
33,technician,single,secondary,no,105,yes,no,unknown,5,may,2,0,no_prior_campaign,0,0,872
29,admin.,single,secondary,no,818,yes,yes,unknown,5,may,1,0,no_prior_campaign,0,0,872
34,services,married,secondary,no,-16,yes,yes,unknown,5,may,1,0,no_prior_campaign,0,0,872
31,blue-collar,married,secondary,no,0,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
55,services,married,secondary,no,2476,yes,no,unknown,5,may,1,0,no_prior_campaign,1,0,872
55,management,married,unknown,no,1185,no,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
32,admin.,single,secondary,no,217,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
38,technician,single,secondary,no,1685,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
55,admin.,single,secondary,no,802,yes,yes,unknown,5,may,2,0,no_prior_campaign,0,0,872
28,unemployed,single,tertiary,no,0,yes,no,unknown,5,may,2,0,no_prior_campaign,0,0,872
23,blue-collar,married,secondary,no,94,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
32,technician,single,secondary,no,0,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
43,services,single,unknown,no,0,no,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
32,blue-collar,married,secondary,no,517,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
46,blue-collar,married,secondary,no,265,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
53,housemaid,divorced,primary,no,947,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
34,self-employed,single,secondary,no,3,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
57,unemployed,married,tertiary,no,42,no,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
37,blue-collar,married,secondary,no,37,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
59,blue-collar,married,secondary,no,57,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
33,services,married,secondary,no,22,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
56,blue-collar,divorced,primary,no,8,yes,no,unknown,5,may,2,0,no_prior_campaign,0,0,872
48,unemployed,married,secondary,no,293,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
43,services,married,primary,no,3,yes,no,unknown,5,may,2,0,no_prior_campaign,0,0,872
54,blue-collar,married,primary,no,348,yes,no,unknown,5,may,2,0,no_prior_campaign,0,0,872
51,blue-collar,married,unknown,no,-19,yes,no,unknown,5,may,2,0,no_prior_campaign,0,0,872
26,student,single,secondary,no,0,yes,no,unknown,5,may,2,0,no_prior_campaign,0,0,872
40,management,married,tertiary,no,-4,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
39,management,married,secondary,no,18,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
50,technician,married,primary,no,139,no,no,unknown,5,may,2,0,no_prior_campaign,0,0,872
41,services,married,secondary,no,0,yes,no,unknown,5,may,2,0,no_prior_campaign,0,0,872
51,blue-collar,married,unknown,no,1883,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
60,retired,divorced,secondary,no,216,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
52,blue-collar,married,secondary,no,782,yes,no,unknown,5,may,3,0,no_prior_campaign,0,0,872
48,blue-collar,married,secondary,no,904,yes,no,unknown,5,may,2,0,no_prior_campaign,0,0,872
48,services,married,unknown,no,1705,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
39,technician,single,tertiary,no,47,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
47,services,single,secondary,no,176,yes,no,unknown,5,may,2,0,no_prior_campaign,0,0,872
40,blue-collar,married,secondary,no,1225,yes,no,unknown,5,may,5,0,no_prior_campaign,0,0,872
45,technician,married,secondary,no,86,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
26,admin.,single,secondary,no,82,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
52,management,married,tertiary,no,271,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
54,technician,married,secondary,no,1378,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
54,admin.,married,tertiary,no,184,no,no,unknown,5,may,2,0,no_prior_campaign,1,0,872
50,blue-collar,married,primary,no,0,no,no,unknown,5,may,3,0,no_prior_campaign,0,0,872
35,blue-collar,married,secondary,no,0,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
44,services,married,secondary,no,1357,yes,yes,unknown,5,may,1,0,no_prior_campaign,0,0,872
53,entrepreneur,married,unknown,no,19,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
35,retired,single,primary,no,434,no,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
60,admin.,divorced,secondary,no,92,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
53,admin.,divorced,secondary,no,1151,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
48,unemployed,married,secondary,no,41,yes,no,unknown,5,may,2,0,no_prior_campaign,0,0,872
34,technician,married,secondary,no,51,yes,no,unknown,5,may,2,0,no_prior_campaign,0,0,872
54,services,married,secondary,no,214,yes,no,unknown,5,may,2,0,no_prior_campaign,0,0,872
51,management,married,secondary,no,1161,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
31,services,married,tertiary,no,37,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
35,technician,divorced,secondary,no,787,yes,no,unknown,5,may,2,0,no_prior_campaign,0,0,872
35,services,married,secondary,no,59,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
38,technician,married,secondary,no,253,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
36,admin.,married,tertiary,no,211,yes,no,unknown,5,may,2,0,no_prior_campaign,0,0,872
58,retired,married,primary,no,235,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
40,services,divorced,unknown,no,4384,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
54,management,married,secondary,no,4080,no,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
34,blue-collar,single,secondary,no,53,yes,yes,unknown,5,may,1,0,no_prior_campaign,0,0,872
31,management,single,tertiary,no,0,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
51,retired,married,secondary,no,2127,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
33,management,married,tertiary,no,377,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
55,management,married,tertiary,no,73,yes,no,unknown,5,may,2,0,no_prior_campaign,0,0,872
42,admin.,married,secondary,no,445,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
34,blue-collar,married,secondary,no,243,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
33,blue-collar,single,secondary,no,307,yes,no,unknown,5,may,2,0,no_prior_campaign,0,0,872
38,services,married,secondary,no,155,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
50,technician,divorced,tertiary,no,173,no,yes,unknown,5,may,1,0,no_prior_campaign,0,0,872
43,management,married,tertiary,no,400,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
61,blue-collar,divorced,primary,no,1428,yes,no,unknown,5,may,2,0,no_prior_campaign,0,0,872
47,admin.,married,secondary,no,219,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
48,self-employed,married,tertiary,no,7,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
44,blue-collar,married,secondary,no,575,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
35,student,single,unknown,no,298,yes,no,unknown,5,may,2,0,no_prior_campaign,0,0,872
35,services,married,secondary,no,0,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
50,services,married,secondary,no,5699,yes,no,unknown,5,may,2,0,no_prior_campaign,0,0,872
41,management,married,tertiary,no,176,yes,yes,unknown,5,may,1,0,no_prior_campaign,0,0,872
41,management,married,tertiary,no,517,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
39,services,single,unknown,no,257,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
42,retired,married,secondary,no,56,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
38,blue-collar,married,secondary,no,-390,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
53,retired,married,secondary,no,330,yes,no,unknown,5,may,2,0,no_prior_campaign,0,0,872
59,housemaid,divorced,primary,no,195,no,no,unknown,5,may,2,0,no_prior_campaign,0,0,872
36,services,married,secondary,no,301,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
54,blue-collar,married,primary,no,-41,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
40,technician,married,tertiary,no,483,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
47,unknown,married,unknown,no,28,no,no,unknown,5,may,2,0,no_prior_campaign,0,0,872
53,unemployed,married,unknown,no,13,no,no,unknown,5,may,3,0,no_prior_campaign,0,0,872
46,housemaid,married,primary,no,965,no,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
39,management,married,tertiary,no,378,yes,yes,unknown,5,may,2,0,no_prior_campaign,0,0,872
40,unemployed,married,secondary,no,219,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
28,blue-collar,married,primary,no,324,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
35,entrepreneur,divorced,secondary,no,-69,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
55,retired,married,secondary,no,0,no,yes,unknown,5,may,1,0,no_prior_campaign,0,0,872
43,technician,divorced,unknown,no,205,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
48,blue-collar,married,primary,no,278,yes,no,unknown,5,may,2,0,no_prior_campaign,0,0,872
58,management,married,unknown,no,1065,yes,no,unknown,5,may,3,0,no_prior_campaign,0,0,872
33,management,single,tertiary,no,34,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
36,blue-collar,married,unknown,no,1033,no,no,unknown,5,may,2,0,no_prior_campaign,0,0,872
53,services,divorced,secondary,no,1467,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
47,blue-collar,married,primary,no,-12,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
31,services,married,secondary,no,388,yes,no,unknown,5,may,2,0,no_prior_campaign,0,0,872
57,entrepreneur,married,secondary,no,294,yes,no,unknown,5,may,2,0,no_prior_campaign,0,0,872
53,blue-collar,married,unknown,no,1827,no,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
55,blue-collar,married,primary,no,627,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
45,blue-collar,married,primary,no,25,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
53,admin.,divorced,secondary,no,315,yes,no,unknown,5,may,2,0,no_prior_campaign,0,0,872
37,blue-collar,married,primary,no,0,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
44,admin.,divorced,secondary,no,66,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
49,blue-collar,divorced,primary,no,-9,yes,yes,unknown,5,may,1,0,no_prior_campaign,0,0,872
46,technician,married,secondary,no,349,yes,yes,unknown,5,may,1,0,no_prior_campaign,0,0,872
43,entrepreneur,married,unknown,no,100,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
38,admin.,married,secondary,no,0,no,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
43,technician,married,secondary,no,434,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
49,management,married,tertiary,no,3237,yes,no,unknown,5,may,3,0,no_prior_campaign,0,0,872
42,management,married,unknown,no,275,no,no,unknown,5,may,2,0,no_prior_campaign,0,0,872
22,blue-collar,single,secondary,no,0,yes,no,unknown,5,may,2,0,no_prior_campaign,0,0,872
40,management,married,tertiary,no,207,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
39,blue-collar,married,secondary,no,483,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
51,services,married,secondary,no,2248,yes,no,unknown,5,may,2,0,no_prior_campaign,0,0,872
49,admin.,married,secondary,no,428,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
53,blue-collar,married,secondary,no,0,yes,yes,unknown,5,may,1,0,no_prior_campaign,0,0,872
34,services,single,secondary,no,0,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
33,technician,divorced,secondary,no,140,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
50,management,single,tertiary,no,297,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
39,blue-collar,married,primary,no,279,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
59,entrepreneur,divorced,secondary,no,901,yes,no,unknown,5,may,3,0,no_prior_campaign,0,0,872
30,technician,single,secondary,no,2573,yes,no,unknown,5,may,2,0,no_prior_campaign,0,0,872
36,services,married,secondary,no,143,yes,yes,unknown,5,may,1,0,no_prior_campaign,0,0,872
40,blue-collar,married,secondary,no,475,yes,no,unknown,5,may,2,0,no_prior_campaign,0,0,872
53,blue-collar,married,secondary,no,70,yes,no,unknown,5,may,2,0,no_prior_campaign,0,0,872
34,management,single,tertiary,no,318,yes,no,unknown,5,may,2,0,no_prior_campaign,0,0,872
37,technician,married,secondary,no,275,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
42,management,divorced,tertiary,no,742,yes,no,unknown,5,may,3,0,no_prior_campaign,0,0,872
41,entrepreneur,married,primary,no,236,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
30,student,single,tertiary,no,25,yes,no,unknown,5,may,2,0,no_prior_campaign,0,0,872
37,management,single,tertiary,no,600,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
39,admin.,divorced,secondary,no,-349,yes,no,unknown,5,may,2,0,no_prior_campaign,0,0,872
41,blue-collar,married,primary,no,183,yes,yes,unknown,5,may,2,0,no_prior_campaign,0,0,872
40,blue-collar,married,primary,no,0,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
42,management,single,tertiary,no,0,yes,yes,unknown,5,may,2,0,no_prior_campaign,1,0,872
40,blue-collar,divorced,primary,no,0,yes,no,unknown,5,may,1,0,no_prior_campaign,0,0,872
57,technician,married,secondary,no,1078,yes,no,unknown,5,may,4,0,no_prior_campaign,0,0,872
56,entrepreneur,divorced,secondary,no,155,no,no,unknown,5,may,3,0,no_prior_campaign,0,0,872
37,admin.,married,secondary,no,190,yes,no,unknown,5,may,2,0,no_prior_campaign,0,0,872
59,retired,married,secondary,no,319,yes,no,unknown,5,may,3,0,no_prior_campaign,0,0,872
39,services,divorced,secondary,no,-185,yes,no,unknown,5,may,3,0,no_prior_campaign,0,0,872
49,services,married,secondary,no,47,no,no,unknown,5,may,2,0,no_prior_campaign,0,0,872
38,services,single,secondary,no,570,yes,no,unknown,5,may,2,0,no_prior_campaign,0,0,872
36,self-employed,married,tertiary,no,19,no,no,unknown,5,may,2,0,no_prior_campaign,0,0,872
50,blue-collar,married,primary,no,61,yes,no,unknown,5,may,3,0,no_prior_campaign,0,0,872
41,admin.,married,secondary,no,-62,yes,yes,unknown,5,may,2,0,no_prior_campaign,0,0,872
54,technician,married,tertiary,no,258,no,no,unknown,5,may,4,0,no_prior_campaign,0,0,872
58,blue-collar,married,primary,no,76,yes,no,unknown,5,may,2,0,no_prior_campaign,0,0,872
30,blue-collar,single,secondary,no,0,yes,no,unknown,5,may,2,0,no_prior_campaign,0,0,872
33,admin.,single,secondary,no,352,yes,no,unknown,5,may,2,0,no_prior_campaign,0,0,872
